title,date,time,end_time,speaker,session_type,url,abstract
Infinite-Width Limit of a Single Attention Layer: Analysis via Tensor Programs,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116729,
FAME: Adaptive Functional Attention with Expert Routing for Function-on-Function Regression,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116925,
PaTH Attention: Position Encoding via Accumulating Householder Transformations,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117370,
"MonarchAttention: Zero-Shot Conversion to Fast, Hardware-Aware Structured Attention",WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117488,
A multiscale analysis of mean-field transformers in the moderate interaction regime,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117615,
PAROAttention: Pattern-Aware ReOrdering for Efficient Sparse and Quantized Attention in Visual Generation Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117769,
Scale-invariant attention,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118299,
ZeroS: Zero‑Sum Linear Attention for Efficient Transformers,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118425,
LoRASuite: Efficient LoRA Adaptation Across Large Language Model Upgrades,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118570,
SageAttention3: Microscaling FP4 Attention for Inference and An Exploration of 8-Bit Training,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118711,
Degrees of Freedom for Linear Attention: Distilling Softmax Attention with Optimal Feature Efficiency,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119670,
Quantum Doubly Stochastic Transformers,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120340,
Normalize Filters! Classical Wisdom for Deep Vision,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115369,
Dimensional Collapse in VQVAEs: Evidence and Remedies,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115424,
Corrector Sampling in Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115650,
Efficient Hybrid Language Model Compression through Group-Aware SSM Pruning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116240,
Dense Backpropagation Improves Training for Sparse Mixture-of-Experts,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116455,
SAS: Simulated Attention Score,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115300,
SALS: Sparse Attention in Latent Space for KV Cache Compression,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115064,
REAL: Benchmarking Autonomous Agents on Deterministic Simulations of Real Websites,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121619,
PoGDiff: Product-of-Gaussians Diffusion Models for Imbalanced Text-to-Image Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119979,
ReDi: Rectified Discrete Flow,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119970,
On-Policy Optimization with Group Equivalent Preference for Multi-Programming Language Understanding,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119908,
The Rise of Parameter Specialization for Knowledge Storage in Large Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119698,
AltLoRA: Towards Better Gradient Approximation in Low-Rank Adaptation with Alternating Projections,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119533,
Exploring the Design Space of Diffusion Bridge Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119526,
Multitask Learning  with Stochastic Interpolants,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119516,
See through the Dark: Learning Illumination-affined Representations for Nighttime Occupancy Prediction,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120132,
Posterior Sampling by Combining Diffusion Models with Annealed Langevin Dynamics,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119457,
COME: Adding Scene-Centric Forecasting Control to Occupancy World Model,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119126,
Entropic Time Schedulers for Generative Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119112,
zip2zip: Inference-Time Adaptive Tokenization via Online Compression,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118871,
ROOT: Rethinking Offline Optimization as Distributional Translation via Probabilistic Bridge,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118155,
Optical Coherence Tomography Harmonization with Anatomy-Guided Latent Metric Schrödinger Bridges,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118127,
Beyond Scores: Proximal Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118106,
Learning to Integrate Diffusion ODEs by Averaging the Derivatives,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117947,
DisCO: Reinforcing Large Reasoning Models with Discriminative Constrained Optimization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/114995,
LayerNavigator: Finding Promising Intervention Layers for Efficient Activation Steering in Large Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115305,
Why Masking Diffusion Works: Condition on the Jump Schedule for Improved Discrete Diffusion,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115376,
Flex-Judge: Text-Only Reasoning Unleashes Zero-Shot Multimodal Evaluators,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115442,
SAEMark: Steering Personalized Multilingual LLM Watermarks with Sparse Autoencoders,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115585,
Training-Free Guidance Beyond Differentiability: Scalable Path Steering with Tree Search in Diffusion and Flow Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116104,
Efficiently Scaling LLM Reasoning Programs with Certaindex,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116107,
Nested Learning: The Illusion of Deep Learning Architectures,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116123,
RoMa: A Robust Model Watermarking Scheme for Protecting IP in Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116200,
Tracing the Roots: Leveraging Temporal Dynamics in Diffusion Trajectories for Origin Attribution,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116226,
Zebra-Llama: Towards Extremely Efficient Hybrid Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116316,
High-Order Flow Matching: Unified Framework and Sharp Statistical Rates,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116548,
Towards General Modality Translation with Contrastive and Predictive Latent Diffusion Bridge,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116815,
Think Only When You Need with Large Hybrid-Reasoning Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116859,
Kuramoto Orientation Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116967,
Joint Relational Database Generation via Graph-Conditional Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117382,
On the Empirical Power of Goodness-of-Fit Tests in Watermark Detection,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117439,
Once Upon an Input: Reasoning via Per-Instance Program Synthesis,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117467,
CDFlow: Building Invertible Layers with Circulant and Diagonal Matrices,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117530,
Ask a Strong LLM Judge when Your Reward Model is Uncertain,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117907,
GraphLand: Evaluating Graph Machine Learning Models on Diverse Industrial Data,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121743,
"CosmoBench: A Multiscale, Multiview, Multitask Cosmology Benchmark for Geometric Deep Learning",WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121643,
MiNT: Multi-Network Transfer Benchmark for Temporal Graph Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121574,
GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120321,
Hierarchical Shortest-Path Graph Kernel Network,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119749,
Out-of-Distribution Generalized Graph Anomaly Detection with Homophily-aware Environment Mixup,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119095,
Towards Effective Federated Graph Foundation Model via Mitigating Knowledge Entanglement,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118809,
Influence Functions for Edge Edits in Non-Convex Graph Neural Networks,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118327,
MoEMeta: Mixture-of-Experts Meta Learning for Few-Shot Relational Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118111,
Optimal Graph Clustering without Edge Density Signals,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117617,
Equivariance Everywhere All At Once: A Recipe for Graph Foundation Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117027,
Future Link Prediction Without Memory or Aggregation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116401,
Pruning Spurious Subgraphs for Graph Out-of-Distribution Generalization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116247,
MOTION: Multi-Sculpt Evolutionary Coarsening for Federated Continual Graph Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115841,
Subgraph Federated Learning via Spectral Methods,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115411,
Logical Expressiveness of Graph Neural Networks with Hierarchical Node Individualization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115097,
Torch-Uncertainty: Deep Learning Uncertainty Quantification,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121463,
SNAP: Low-Latency Test-Time Adaptation with Sparse Updates,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119633,
Competitive Advantage Attacks to Decentralized Federated Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119478,
CCL: Causal-aware In-context Learning for Out-of-Distribution Generalization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119001,
Generalization vs Specialization under Concept Shift,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116396,
Improved Scaling Laws in Linear Regression via Data Reuse,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116442,
The emergence of sparse attention: impact of data distribution and benefits of repetition,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116474,
On the Surprising Effectiveness of Large Learning Rates under Standard Width Scaling,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116648,
From Condensation to Rank Collapse: A Two-Stage Analysis of Transformer Training Dynamics,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116705,
Go With the Flow: Fast Diffusion for Gaussian Mixture Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117149,
Exact Expressive Power of Transformers with Padding,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118324,
Lost in Transmission: When and Why LLMs Fail to Reason Globally,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118455,
How Does Label Noise Gradient Descent Improve Generalization in the Low SNR Regime?,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118751,
Nonparametric Quantile Regression with ReLU-Activated Recurrent Neural Networks,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118830,
RSAVQ: Riemannian Sensitivity-Aware Vector Quantization for Large Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119625,
The Implicit Bias of Structured State Space  Models Can Be Poisoned With Clean Labels,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120031,
Reproducing Kernel Banach Space Models for Neural Networks with Application to Rademacher Complexity Analysis,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120354,
Deep Nonlinear Sufficient Dimension Reduction,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/122023,
Scaling Data-Driven Probabilistic Robustness Analysis for Semantic Segmentation Neural Networks,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116265,
Fit the Distribution: Cross-Image/Prompt Adversarial Attacks on Multimodal Large Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116349,
Scalable Neural Network Geometric Robustness Validation via Hölder Optimisation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117674,
Towards Building Model/Prompt-Transferable Attackers against Large Vision-Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117801,
Robustness in Both Domains: CLIP Needs a Robust Text Encoder,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118180,
Latency NMS Attacks: Is It Real Life or Is It Just Fantasy?,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118338,
ReMA: Learning to Meta-Think for LLMs with Multi-agent Reinforcement Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115462,
Don't be lazy: CompleteP enables compute-efficient deep transformers,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116289,
From Shortcut to Induction Head: How Data Diversity Shapes Algorithm Selection in Transformers,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116174,
"What One Cannot, Two Can: Two-Layer Transformers Provably Represent Induction Heads on Any-Order Markov Chains",WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116127,
Streaming Attention Approximation via Discrepancy Theory,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115991,
"MoE-CAP: Benchmarking Cost, Accuracy and Performance of Sparse Mixture-of-Experts Systems",WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121496,
Self-Verifying Reflection Helps Transformers with CoT Reasoning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119948,
Beyond Components: Singular Vector-Based Interpretability of Transformer Circuits,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119702,
Masked Diffusion Models as Energy Minimization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119627,
Representation Consistency for Accurate and Coherent LLM Answer Aggregation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119617,
The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119238,
GSO: Challenging Software Optimization Tasks for Evaluating SWE-Agents,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121735,
Towards Fully FP8 GEMM LLM Training at Scale,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118628,
Do Language Models Use Their Depth Efficiently?,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118586,
Chain of Execution Supervision Promotes General Reasoning in Large Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118108,
Efficient Multi-bit Quantization Network Training via Weight Bias Correction and Bit-wise Coreset Sampling,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117708,
Sherlock: Self-Correcting Reasoning in Vision-Language Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117278,
Thinkless: LLM Learns When to Think,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117232,
BLEUBERI: BLEU is a surprisingly effective reward for instruction following,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117192,
ZEUS: Zero-shot Embeddings for Unsupervised Separation of Tabular Data,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116816,
Continuous Subspace Optimization for Continual Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116567,
Self-Evolving Pseudo-Rehearsal for Catastrophic Forgetting with Task Similarity in LLMs,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116466,
TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121705,
EVAAA: A Virtual Environment Platform for Essential Variables in Autonomous and Adaptive Agents,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121567,
KL Penalty Control via Perturbation for Direct Preference Optimization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120359,
Continuous Soft Actor-Critic: An Off-Policy Learning Method Robust to Time Discretization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119083,
Learning Parameterized Skills from Demonstrations,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119019,
Diffusion Guided Adversarial State Perturbations in Reinforcement Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118756,
Reinforcement learning for one-shot DAG scheduling with comparability identification and dense reward,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118664,
STAIR: Addressing Stage Misalignment through Temporal-Aligned Preference Reinforcement Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117607,
A Generalized Bisimulation Metric of State Similarity between Markov Decision Processes: From Theoretical Propositions to Applications,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117504,
Rendering-Aware Reinforcement Learning for Vector Graphics Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/120143,
MMIG-Bench: Towards Comprehensive and Explainable Evaluation of Multi-Modal Image Generation Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121667,
EgoVid-5M: A Large-Scale Video-Action Dataset for Egocentric Videos Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121716,
OverLayBench: A Benchmark for Layout-to-Image Generation with Dense Overlaps,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121763,
AdaSPEC: Selective Knowledge Distillation for Efficient Speculative Decoders,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115055,
"70% Size, 100% Accuracy: Lossless LLM Compression for Efficient GPU Inference via Dynamic-Length Float (DFloat11)",WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115225,
Searching Efficient Semantic Segmentation Architectures via Dynamic Path Selection,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115231,
Listwise Preference Diffusion Optimization for User Behavior Trajectories Prediction,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115273,
DP-LLM: Runtime Model Adaptation with Dynamic Layer-wise Precision Assignment,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115920,
CAS-Spec: Cascade Adaptive Self-Speculative Decoding for On-the-Fly Lossless Inference Acceleration of LLMs,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116243,
SeRL: Self-play Reinforcement Learning for Large Language Models with Limited Data,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117365,
GOOD: Training-Free Guided Diffusion Sampling for Out-of-Distribution Detection,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116282,
CORE: Reducing UI Exposure in Mobile Agents via Collaboration Between Cloud and Local LLMs,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116353,
Incentivizing Dual Process Thinking for Efficient Large Language Model Reasoning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116873,
Skill-Driven Neurosymbolic State Abstractions,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116718,
Approximating Shapley Explanations in Reinforcement Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116290,
Rectifying Shortcut Behaviors in Preference-based Reward Learning,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116237,
Enhancing Safety in Reinforcement Learning with Human Feedback via Rectified Policy Optimization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115844,
XVerse: Consistent Multi-Subject Control of Identity and Semantic Attributes via DiT Modulation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119968,
Mind-the-Glitch: Visual Correspondence for Detecting Inconsistencies in Subject-Driven Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119961,
Self-diffusion for Solving Inverse Problems,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119840,
Let the LLM Stick to Its Strengths: Learning to Route Economical LLM,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115520,
PanoWan: Lifting Diffusion Video Generation Models to 360∘with Latitude/Longitude-aware Mechanisms,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119701,
Imagine360: Immersive 360 Video Generation from Perspective Anchor,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119364,
Training-Free Efficient Video Generation via Dynamic Token Carving,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/119278,
Stable Cinemetrics : Structured Taxonomy and Evaluation for Professional Video Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118677,
RoomEditor: High-Fidelity Furniture Synthesis with Parameter-Sharing U-Net,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118651,
Dimension-Reduction Attack! Video Generative Models are Experts on Controllable Image Synthesis,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118583,
Smooth and Flexible Camera Movement Synthesis via Temporal Masked Generative Modeling,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118515,
FreeInv: Free Lunch for Improving DDIM Inversion,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118393,
Seg2Any: Open-set Segmentation-Mask-to-Image Generation with Precise Shape and Semantic Control,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115875,
Improving Video Generation with Human Feedback,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116150,
Autoregressive Adversarial Post-Training for Real-Time Interactive Video Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116297,
HiFlow: Training-free High-Resolution Image Generation with Flow-Aligned Guidance,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116343,
SViMo: Synchronized Diffusion for Video and Motion Generation in Hand-object Interaction Scenarios,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116609,
DINO-Foresight: Looking into the Future with DINO,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116713,
Universal Few-shot Spatial Control for Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/116889,
A Gradient Guidance Perspective on Stepwise Preference Optimization for Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117028,
IntrinsiX: High-Quality PBR Generation using Image Priors,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117098,
Diffusion Model as a Noise-Aware Latent Reward Model for Step-Level Preference Optimization,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117442,
DiCo: Revitalizing ConvNets for Scalable and Efficient Diffusion Modeling,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117743,
Localizing Knowledge in Diffusion Transformers,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117911,
MoCha: Towards Movie-Grade Talking Character Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/117961,
DEFT: Decompositional Efficient Fine-Tuning for Text-to-Image Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118053,
PairEdit: Learning Semantic Variations for Exemplar-based Image Editing,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118093,
Native-Resolution Image Synthesis,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118124,
The Matrix: Infinite-Horizon World Generation with Real-Time Moving Control,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118202,
Image Editing As Programs with Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118240,
Hawk: Leveraging Spatial Context for Faster Autoregressive Text-to-Image Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118371,
Simple Distillation for One-Step Diffusion Models,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/118385,
Solving Inverse Problems with FLAIR,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115349,
ROSE: Remove Objects with Side Effects in Videos,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115238,
Towards a Golden Classifier-Free Guidance Path via Foresight Fixed Point Iterations,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115124,
MotionRAG: Motion Retrieval-Augmented Image-to-Video Generation,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/115107,
Hi3DEval: Advancing 3D Generation Evaluation with Hierarchical Validity,WED 3 DEC,4:30,7:30,,Poster,https://neurips.cc/virtual/2025/poster/121787,
