bu_name,session_title,session_type,session_date,session_time,cosine_similarity,recommendation_reason,focus_areas
CBG,  → PlayerOne: Egocentric World Simulator,Oral Paper,FRI 5 DEC,10:00-11:00,0.4915335,PlayerOne作为首个自我视角现实世界模拟器，精准实现了基于单目视频的3D/4D稀疏重建及相机轨迹控制的视频生成，直接契合CBG挑战点2和挑战点3，极具研究和应用价值。,单目视频驱动的3D/4D场景重建技术; 基于动作分解的部分运动注入算法; 长期视频中场景一致性建模; 多模态（视角转换）同步训练机制; 动态环境下的场景与动作联合重构
多伦多云,ML x OR: Mathematical Foundations and Operational Integration of Machine Learning for Uncertainty-Aware Decision-Making,Workshop,SAT 6 DEC,8 a.m.,0.47182536,该Session深入探讨了将机器学习与运筹学结合以实现不确定性敏感的决策制定，对于多伦多云团队“Agent业务上线后的自主学习与持续优化机制”挑战具有直接指导意义，尤其是在规划与多步执行能力的持续优化方面。,运筹学建模方法在机器学习中的嵌入; 不确定性缓解与决策间的数据、模型接口; 序贯决策与在线学习的运筹学视角; 具备规划和多步执行能力的Agent持续优化策略; 生成式AI在决策制定中的应用
多伦多云,Workshop on Scaling Environments for Agents,Workshop,SUN 7 DEC,8 a.m.,0.5050191,该团队关注Agent业务上线后的自主学习与持续优化机制，匹配Session中关于通过环境交互实现L3+ agent多步执行能力的持续优化，契合环境设计与模型优化的结合，为解决Prompt与模型飞轮融合提供前沿思路。,环境基础设施设计与扩展性; 多步规划与执行能力的Agent训练方法; 结合Prompt优化与模型优化的持续学习机制; 基于交互环境的端到端强化学习; 多代理系统与模拟环境的集成技术
诺亚,  → Understanding and Mitigating Numerical Sources of Nondeterminism in LLM Inference,Oral Paper,WED 3 DEC,10:00-11:00,0.46190515,"该Session深入探讨了数值精度对LLM推理结果的不确定性影响，直接关联到团队在""测试时推理策略及模型内置记忆更新机制改进""的挑战。参与该会议将助力团队优化推理策略，提升模型推理的稳定性和准确性。",浮点数数值精度及其对推理稳定性的影响; 推理过程中不同系统配置（GPU数量、批量大小）对结果波动的分析; 推理策略中数值舍入误差的传播机制; LayerCast轻量级推理管线及其内存与精度权衡; 提升模型推理结果可复现性的方法与实践
诺亚,  → EvoLM: In Search of Lost Language Model Training Dynamics,Oral Paper,FRI 5 DEC,10:00-11:00,0.4665607,本Session深入探讨语言模型训练动态，揭示预训练与后训练阶段的权衡，正好契合诺亚团队在推理策略优化及多模态长文本推理计算瓶颈的挑战，助力提升模型内置记忆更新机制和长序列多模态推理能力。,多阶段训练动态分析方法; 减轻领域专用持续预训练中的遗忘问题; 预训练与后训练间的知识迁移技巧; 针对长序列及多模态输入的推理策略优化; 监督微调与强化学习中的权衡机制
诺亚,AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM),Workshop,SUN 7 DEC,8 a.m.,0.45105046,本Session聚焦于基础模型的持续更新与兼容性，直接对应团队在推理策略及模型内置记忆更新机制改进的挑战，助力实现高效适应与信息保留，提升模型性能和用户体验。,基础模型的持续学习策略; 模型内置记忆机制优化; 避免遗忘的更新技术; 成本效益高的模型动态适应方法; 动态且现实的模型评估策略
诺亚,Beyond Benchmarks: Rethinking Reasoning in Language Models,Expo Talk Panel,TUE 2 DEC,8:30 a.m.,0.4851904,本Session深入探讨语言模型的推理本质与评估误区，契合团队关于多模态长文本推理计算瓶颈的挑战。通过理解推理能力的内涵及其限制，有助于指导长序列图文模型在输入范式上的创新突破。,推理过程的分步解构及链式思维生成方法; 推理能力与知识召回的区别及影响; 现有推理评估方法的局限性及改进策略; 多模态长文本中的复杂推理计算瓶颈分析; 如何基于推理机制优化输入范式提升模型性能
诺亚,Generating group photos of multiple people from text and reference images,Expo Demonstration,TUE 2 DEC,noon,0.45864528,该Session展示了基于文本和多个人物参考图像生成高质量合成图像的最新技术，直接关联长序列图文多模态模型的推理挑战，契合团队对多模态长文本推理计算瓶颈的突破需求。,参考图像与文本的多模态融合技术; 多人人物身份保持与空间关系建模; 基于强化学习的多目标优化策略; 高效长序列多模态推理方法; 移动端实时图像生成实现方案
诺亚,Workshop on multimodal Superintelligence,Expo Workshop,TUE 2 DEC,noon,0.55944383,该团队面临的多模态长序列图文模型推理计算瓶颈，契合Workshop对跨模态推理和多模态模型输入范式突破的探讨，有助于解决挑战点，提高模型性能和效能。,多模态长序列建模与推理技术; 跨模态融合与协同学习方法; 多模态模型的输入范式创新; 跨模态推理与对齐机制; 多模态模型的计算效率优化
诺亚,Recent developments in embodied AI,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.46127927,本Session深入探讨基于多模态大语言模型的内嵌AI前沿技术，直接契合诺亚团队在长序列图文多模态模型推理计算瓶颈突破的挑战点，可助力优化多模态长文本推理能力。,多模态大语言模型的端到端训练方法; 长序列多模态输入范式创新; 实时边缘设备推理技术; 强化学习在多模态模型训练中的应用; 状态追踪与长期记忆机制
诺亚,Ling 2.0 and Ling-1T: Scaling Knowledge-Enhanced Large Language Models for Reasoning and Efficiency,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.46286103,该Session聚焦于高效大规模训练和混合注意力机制，直接对应诺亚团队在多模态长文本推理计算瓶颈的挑战点，有助突破输入范式和推理效率限制，实现跨模态长序列处理能力。,高效的大规模训练系统设计与实现; 混合注意力机制及其在长上下文推理中的应用; 基于RL的模型对齐策略提升推理准确性与简洁性; 跨域推理和知识增强技术的扩展可能性; 工业级应用，如金融风险建模中的模型部署与优化
诺亚,  → Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),Oral Paper,WED 3 DEC,10:00-11:00,0.45297438,本Session聚焦大型语言模型生成多样性与长文本推理的挑战，契合团队在“长序列图文多模态模型演进及输入范式优化”上的研究需求，有助突破多模态长文本推理的计算瓶颈。,大型语言模型的开放式多样性生成及模式崩溃现象分析; 多模态长序列输入的范式设计与优化方法; 基于大规模真实开放式查询的数据集构建方法; 结合人类偏好标注优化模型生成输出的技术; 评估和缓解语言模型间同质化的机制与策略
诺亚,  → SAVVY: Spatial Awareness via Audio-Visual LLMs through Seeing and Hearing,Oral Paper,WED 3 DEC,10:00-11:00,0.49378607,SAVVY通过融合视觉和空间音频线索，实现动态3D空间推理，有效突破多模态模型在长序列推理中的计算瓶颈，契合诺亚团队在长序列图文多模态模型演进方向的挑战点。,融合多模态音视频信息的长序列空间轨迹估计方法; 动态三维全局地图构建及其与局部视角的坐标变换; 结合空间音频实现动态环境中对象定位与跟踪; 无训练推理管线设计与应用潜力评估; 提升多模态长文本推理效率的输入范式创新
诺亚,  → Interactive Cross-modal Learning for Text-3D Scene Retrieval,Oral Paper,WED 3 DEC,10:00-11:00,0.46961513,本Session提出的交互式文本-3D场景检索方法，解决多模态长文本推理中的交互和信息融合瓶颈，契合诺亚团队挑战点“长序列图文多模态模型演进方向”，有助突破输入范式和计算限制。,交互式检索细化框架(IRR)设计与实现; 多轮提问与应答机制以优化查询表达; 特征和语义层面信息融合策略; 交互适配调优策略(IAT)实现对域差的适应; 多模态长文本推理中的性能提升方法
诺亚,  → Envisioning Beyond the Pixels: Benchmarking Reasoning-Informed Visual Editing,Oral Paper,WED 3 DEC,3:30-4:30,0.4855241,该团队关注长序列图文多模态模型演进，与Session中对视觉编辑中复杂指令和推理的挑战高度契合。参与本Session有助于探索突破多模态长文本推理计算瓶颈的新思路和方法。,多模态长文本推理技术; 复杂指令下的视觉编辑算法; 图像与文本的时序因果空间逻辑推理; 编辑中外观一致性维护策略; 基于推理的视觉编辑评测框架
诺亚,  → CoralVQA: A Large-Scale Visual Question Answering Dataset for Coral Reef Image Understanding,Oral Paper,WED 3 DEC,3:30-4:30,0.4545604,该Session聚焦于基于大规模视觉语言模型的 coral reef 图像理解，涉及长序列多模态数据的处理挑战，契合诺亚团队关于长序列图文多模态模型输入范式创新的研究方向，有助攻克多模态长文本推理瓶颈。,大规模视觉问答数据集构建与质量保障技术; 多模态长序列数据的高效编码与推理方法; 针对生态类图像的领域特定特征提取与表示; 视觉语言模型在环境监测任务中的应用和优化; 半自动数据标注流程与专家协同机制
诺亚,The Art of (Artificial) Reasoning,Invited Talk,THU 4 DEC,8:30 a.m.,0.49768567,该Session深入探讨了提升推理能力的方法，特别关注小型语言模型的性能提升，这与团队在突破多模态长文本推理计算瓶颈的挑战点高度契合。参与此Session有助于团队获得最新算法与模型优化思路。,长序列多模态数据的输入范式创新; 提升小型语言模型推理能力的技术; 强化学习在复杂推理任务中的应用与限制; 分析当前大模型扩展的可持续性问题; 融合多模态信息以优化推理效果
诺亚,  → Large Language Diffusion Models,Oral Paper,FRI 5 DEC,10:00-11:00,0.48580077,该团队关注长序列图文多模态模型的输入范式突破，而Session中LLaDA提出的基于扩散模型的语言生成新范式，展示了处理复杂长文本结构的潜力，直接关联多模态长文本推理计算瓶颈，有助于团队技术创新。,基于扩散模型的语言生成机制及其优势; 输入数据的前向掩码处理方法与逆向生成过程; 模型对长序列文本的推理与优化策略; 扩散模型在多模态长文本建模中的应用潜能; 指令微调后的模型多轮对话能力提升
诺亚,  → Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,Oral Paper,FRI 5 DEC,10:00-11:00,0.4660442,该Session深入探讨了强化学习与推理能力边界，尤其关注多模态长文本推理中的推理路径和能力限制，与团队挑战点“长序列图文多模态模型演进方向”高度契合，有助突破多模态推理计算瓶颈。,强化学习与可验证奖励（RLVR）在推理能力提升中的作用与局限; 长序列图文多模态推理模型的输入范式创新; 推理能力边界及模型自身潜力的量化分析方法; 多模态模型中的推理路径覆盖与困惑度分析; 强化学习训练过程中的推理能力收敛与扩展策略
诺亚,  → QoQ-Med: Building Multimodal Clinical Foundation Models with Domain-Aware GRPO Training,Oral Paper,FRI 5 DEC,10:00-11:00,0.4735082,该Session介绍了一种基于Domain-aware GRPO训练的多模态临床基础模型，重点解决了多模态长序列推理中的计算瓶颈，契合诺亚团队在长序列图文多模态模型输入范式突破的挑战。,Domain-aware Relative Policy Optimization (DRPO)算法设计; 多模态长序列推理中的计算瓶颈优化; 多模态数据融合与权重平衡策略; 大规模临床多模态数据的训练方法; 模型可解释性与显著区域高效标注
诺亚,  → Memory Mosaics at scale,Oral Paper,FRI 5 DEC,10:00-11:00,0.4696748,该Session展示了Memory Mosaics在大规模长文本模型上的突破，特别是在训练知识存储和新任务推理能力方面显著优于传统Transformer，切实对应“长序列图文多模态模型演进”挑战，实现输入范式层面的计算瓶颈突破。,Memory Mosaics架构及其v2版本的改进细节; 大规模长文本建模与训练技巧（如10B规模、万亿级tokens训练）; 多模态长序列输入范式创新方法; 新知识存储与即时推理能力的评测指标与方法; Memory Mosaics与Transformer性能对比分析
诺亚,  → Boosting Knowledge Utilization in Multimodal Large Language Models via Adaptive Logits Fusion and Attention Reallocation,Oral Paper,FRI 5 DEC,10:00-11:00,0.5290264,本Session提出的Adaptive Logits Fusion和Attention Reallocation技术有效缓解多模态长序列推理中的注意力偏差与知识冲突，直接对应诺亚团队挑战点3关于长序列图文多模态模型突破计算瓶颈的需求，有助推动输入范式创新。,利用自适应注意力重分配缓解视觉与文本Token间的注意力偏差; 在输出层融合参数化与上下文知识以解决知识冲突; 开发无需额外训练的插件式多模态样式融合方法; 提升多模态长文本推理的计算效率与模型响应质量; 多数据集验证适用性与效果的跨模型推广能力
诺亚,  → HyperET: Efficient Training in Hyperbolic Space for Multi-modal Large Language Models,Oral Paper,FRI 5 DEC,10:00-11:00,0.59266293,该Session提出利用双曲空间有效训练多模态大型语言模型，针对视觉与文本多粒度对齐的计算瓶颈，与诺亚团队关于长序列图文多模态模型输入范式突破的挑战点高度契合，有助于优化长文本推理效率。,双曲空间在多模态对齐中的应用与原理; 动态调整双曲空间半径实现多粒度视觉文本对齐; Möbius乘法及其在视觉表示优化中的实现方式; 高效参数化策略（对角、块对角及带状矩阵）设计; 减少模型额外参数消耗提升训练效率的技术
诺亚,  → Rethinking Multimodal Learning from the Perspective of Mitigating Classification Ability Disproportion,Oral Paper,FRI 5 DEC,10:00-11:00,0.46488652,该Session提出通过持续boosting算法动态平衡多模态弱强分类能力，直接关联挑战点“长序列图文多模态模型演进”中的多模态长文本推理瓶颈，助力突破输入范式限制，实现更优性能。,持续boosting算法在多模态学习中的应用; 分类能力动态平衡机制; 跨模态残差误差优化策略; 自适应分类器分配方法; 跨模态差距函数的收敛性分析
诺亚,  → MokA: Multimodal Low-Rank Adaptation for MLLMs,Oral Paper,FRI 5 DEC,3:30-4:30,0.45232353,本Session提出的MokA方法针对多模态低秩适配，有助于优化长序列图文多模态模型的输入范式和推理效率，直接契合团队关于长文本推理计算瓶颈的挑战点。参与有助于突破多模态长文本处理技术瓶颈。,多模态低秩适配技术设计; 单模态与跨模态适配机制; 多模态输入范式优化; 长序列多模态推理计算效率提升; 多模态大模型高效微调策略
诺亚,The First Workshop on Efficient Reasoning,Workshop,SAT 6 DEC,8 a.m.,0.54927766,该团队关注长序列图文多模态模型的推理计算瓶颈，与本次会议聚焦于高效推理的训练与推断效率瓶颈高度契合，有助于突破多模态长文本推理的输入范式限制。,高效训练算法的设计与实现; 推断阶段的动态KV-cache管理; 多模态长序列输入的计算优化; 内存与计算资源受限环境下的系统部署; 量化图执行与知识蒸馏技术
诺亚,Workshop on Multi-Turn Interactions in Large Language Models,Workshop,SAT 6 DEC,8 a.m.,0.51647717,该团队专注于长序列图文多模态模型的输入范式优化，直接对应Session中探讨的多轮交互及复杂任务下的多模态推理计算瓶颈问题，参加此Workshop有助于深化技术突破与多轮交互机制的结合。,多轮交互中长序列图文多模态模型的输入范式突破; 多轮强化学习在复杂环境中的应用; 多轮交互中对齐人类价值的技术方法; 人机互动中的模型适应性与安全性; 多轮交互任务的长期评估与策略一致性
诺亚,2nd  Workshop on Multi-modal Foundation Models and Large Language Models  for Life Sciences,Workshop,SUN 7 DEC,8 a.m.,0.5172555,该Session聚焦于多模态基础模型及大语言模型在生命科学的应用，正好契合团队关于长序列图文多模态模型推理瓶颈的挑战，能助力探索输入范式层面创新，突破计算限制。,多模态基础模型的设计与优化方法; 长序列多模态数据的高效推理技术; 多模态大语言模型在蛋白质和基因组功能预测中的应用; 多组学数据联合表征与建模; 模型解释性与鲁棒性提升策略
诺亚,Foundations of Reasoning in Language Models,Workshop,SUN 7 DEC,8 a.m.,0.489835,该团队致力于突破多模态长文本推理的计算瓶颈，与Workshop探讨语言模型推理能力及算法创新紧密相关，有助于获取理论与实践的前沿解决方案。,长序列多模态输入范式优化; 语言模型中推理能力的理论分析; 多模态长文本推理算法创新; 推理失败的经验验证方法; 提升复杂任务推理性能的系统方法
诺亚,Multimodal Algorithmic Reasoning Workshop,Workshop,SUN 7 DEC,8 a.m.,0.6577201,诺亚团队面临的长序列图文多模态模型推理瓶颈，与MAR 2025工作坊中关于多模态算法推理及模型能力进展高度契合，参会能深化对输入范式突破与推理效率提升的理解，助力解决关键技术难题。,多模态算法推理机制与架构优化; 长序列图文输入范式创新; 视觉与语言的数学推理能力提升; 链式思维推理与分布式智能代理; 认知科学视角下的人工智能能力评估
